"finn_id","title","price","size_sqm","rooms","address","neighborhood","property_type","year_built","broker","url","scraped_at","lat","lon","category","category_confidence","category_reasoning","classified_at","standard","standard_confidence","standard_reasoning"
"460471138","Tonsenhagen/ Ved marka - Strøken og totalrenovert 2-roms med høy standard l Lave bokostnader | Fyring/ Vv, TV/internett inkl. | 2 boder | Bør ses",3924084,47,2,"Selvbyggerveien 98, Oslo",NA,"Leilighet",1966,"PrivatMegleren","https://www.finn.no/realestate/homes/ad.html?finnkode=460471138","2026-04-20T15:17:17",NA,NA,"Starter / budget","high","2-room apartment at 3.9M NOK, below 3.5M threshold is close, but at the upper boundary of starter segment. Small size (47 m²) and price point indicate first-time buyer property.","2026-04-20T15:44:06","High standard","high","Title explicitly states 'totalrenovert' and 'høy standard'. Despite 1966 build year, the comprehensive renovation keyword and high price/m² (83,491 NOK/m²) indicate modern finishes."
"448565294","Frogner - med inngang fra Gimleveien - Moderne 3-roms toppleilighet fra 2017 på hjørnet ut mot Gimleveien. Gulvareal på 100 m². Tilbaketrukket og rolig.",7966041,77,3,"Magnus Bergs gate 6 B, Oslo",NA,"Leilighet",1900,"PrivatMegleren","https://www.finn.no/realestate/homes/ad.html?finnkode=448565294","2026-04-20T15:17:17",NA,NA,"Luxury","high","Frogner location (prestigious address), 3-room modern apartment from 2017, price 7.9M NOK approaching premium tier. Premium neighborhood and contemporary standards justify luxury classification.","2026-04-20T15:44:06","High standard","high","Title explicitly states 'Moderne' and 'fra 2017', indicating the unit was built or fully renovated to modern standards within the last ~7 years with contemporary finishes."
"459878926","NYDALEN - Lys & moderne 2-R selveier i 6.etg med heis I Solrik sydvestvendt balkong med utsikt I Fjernvarme/VV & TV/internett inkl",6140840,53,2,"Nydalen allé 21, Oslo","Nydalen","Leilighet",2007,"Partners","https://www.finn.no/realestate/homes/ad.html?finnkode=459878926","2026-04-20T15:17:17",NA,NA,"Central urban","high","Nydalen is a mid-range central Oslo district, 2-room modern apartment at 6.1M NOK with good amenities. Central location and mid-range pricing fit urban category better than suburban or luxury.","2026-04-20T15:44:06","High standard","high","Title describes 'Lys & moderne' with 2007 build year and high price/m² (115,865 NOK/m²), indicating a modern, well-maintained property built in the 2000s with current standard finishes."
"460139215","Nordstrand - Stor eierleilighet i vakker villa med klassisk preg | Luftig fjordutsikt og parkmessig tomt | Fyring inkl.",14556090,201,6,"Birgitte Hammers vei 3A, Oslo",NA,"Leilighet",1905,"PrivatMegleren","https://www.finn.no/realestate/homes/ad.html?finnkode=460139215","2026-04-20T15:17:17",NA,NA,"Luxury","high","Price 14.5M NOK, 6-room property with fjord view in Nordstrand, spacious (201 m²) villa-style apartment. Premium price and waterfront/view features indicate luxury classification.","2026-04-20T15:44:06","Average / dated","medium","Built in 1905 with no explicit renovation mentioned. Description emphasizes architectural charm ('klassisk preg') rather than modern finishes, suggesting original period features with dated elements."
"460028452","Hellerud - Meget attraktiv vertikaltdelt tomannsbolig | Fantastiske uteplasser m/storslagen utsikt | Garasje | Populær beliggenhet!",11276350,131,4,"Ivar Welles vei 8, Oslo",NA,"Tomannsbolig",1959,"EIE Eiendomsmegling","https://www.finn.no/realestate/homes/ad.html?finnkode=460028452","2026-04-20T15:17:17",NA,NA,"Luxury","high","Price 11.2M NOK, 4-room tomannsbolig (townhouse) with fantastic views and garage. Above 10M NOK threshold with premium location and outdoor space indicates luxury property.","2026-04-20T15:44:06","Average / dated","medium","Built in 1959 with no renovation keywords. Price/m² (86,079) and description focus on location and outdoor space rather than interior finishes, suggesting average maintenance without major updates."
"460232912","I hjertet av Frogner/Oscars gate - Klassisk bygårdsleilighet med stort potensial. 3 stuer på rad, balkong, kakkelovn & god takhøyde. Oppussingsobjekt!",17938590,184,7,"Oscars gate 78 A, Oslo",NA,"Leilighet",1904,"PrivatMegleren","https://www.finn.no/realestate/homes/ad.html?finnkode=460232912","2026-04-20T15:17:17",NA,NA,"Luxury","high","Frogner/Oscars gate (prestigious address), 7-room property at 17.9M NOK. High price and premier neighborhood override renovation needs; luxury takes precedence.","2026-04-20T15:44:06","Renovation project","high","Title explicitly states 'Oppussingsobjekt!' indicating significant renovation work required. This is a clear renovation project signal despite the decent price/m²."
"457323190","Solli Plass - Ved Slottsparken - Klassisk og gjennomgående 5-roms selveier - Heis - To balkonger - Kakkelovn og peis - To innganger - Oppussing",15287490,175,3,"Løkkeveien 5, Oslo",NA,"Leilighet",1898,"Sem & Johnsen","https://www.finn.no/realestate/homes/ad.html?finnkode=457323190","2026-04-20T15:17:17",NA,NA,"Luxury","high","Solli Plass near Slottsparken (prestigious location), 5-room apartment at 15.2M NOK with premium features. Luxury price point and prime address dominate despite renovation mention.","2026-04-20T15:44:06","Average / dated","medium","Built in 1898 with mention of 'Oppussing' (renovation needed) but price/m² (87,357) and description of classic features suggest dated condition requiring updates rather than a major project."
"460018096","SKØYEN/CASINETTO - Nydelig 2-roms m/9 kvm solrik balkong og grønt utsyn | Parkeringsplass m/lader | Moderne standard m/bad fra 2020",6486387,62,2,"Prinsessealléen 15 G, Oslo",NA,"Leilighet",1983,"PrivatMegleren","https://www.finn.no/realestate/homes/ad.html?finnkode=460018096","2026-04-20T15:17:17",NA,NA,"Central urban","high","Skøyen/Casinetto is a central-west Oslo district, 2-room modern apartment at 6.4M NOK with contemporary standard (2020 bathroom). Mid-range price and central location fit urban category.","2026-04-20T15:44:06","Good standard","high","Title states 'Moderne standard' with recent bathroom renovation 'fra 2020'. Built in 1983, updated with modern fixtures, indicating well-maintained functional property in good condition."
"460025489","Kampen - Lys og klassisk 2-roms utsiktsleilighet i ""Kampen slott"" | Moderne standard | Nydelig felles hage | Gjennomgående",4488962,49,2,"Norderhovgata 38 B, Oslo",NA,"Leilighet",1898,"PrivatMegleren","https://www.finn.no/realestate/homes/ad.html?finnkode=460025489","2026-04-20T15:17:17",NA,NA,"Central urban","high","Kampen is a central Oslo district, 2-room classic apartment with modern standards at 4.4M NOK. Central neighborhood and mid-range price point indicate urban apartment classification.","2026-04-20T15:44:06","Good standard","high","Title explicitly states 'Moderne standard' despite 1898 build year. High price/m² (91,611) and modern finish description indicate well-maintained property with contemporary updates."
"460241265","Idyllisk på Bergkrystallen! - Lys og pen 3-roms m/ vestvendt balkong og peis | Åpen kjøkken/stue løsning | Lave FK | Sentralt og barnevennlig!",4560407,63,3,"Kvartsveien 3, Oslo",NA,"Leilighet",1956,NA,"https://www.finn.no/realestate/homes/ad.html?finnkode=460241265","2026-04-20T15:17:17",NA,NA,"Central urban","medium","Bergkrystallen area (Grünerløkka/central-east), 3-room apartment at 4.5M NOK with good amenities. Could be starter family home, but central location and mid-range pricing favor urban classification.","2026-04-20T15:44:06","Average / dated","medium","Built in 1956 with no renovation keywords. Description emphasizes charm ('Idyllisk', 'pen') and features ('peis') rather than modern finishes, suggesting older property with average/dated condition."
"460349083","Homansbyen - Klassisk og påkostet 3-roms m/solrik balkong. Rehabilitert 1890-gård. Vakkert gjennomlys. Parkering med el-lader.",7744028,64,3,"Welhavens gate 22 B, Oslo",NA,"Leilighet",1892,"EIE Eiendomsmegling","https://www.finn.no/realestate/homes/ad.html?finnkode=460349083","2026-04-20T15:17:17",NA,NA,"Central urban","high","3-room apartment in Homansbyen (central Oslo), mid-range price (7.7M NOK), well-maintained classical building with good finishes but not luxury or waterfront.","2026-04-20T15:44:13","High standard","high","Klassisk and påkostet (indulgent) descriptor combined with rehabilitert (rehabilitated) 1890-gård and high price/m² (121k) indicate thorough modernization while preserving character."
"460038783","Lofthus/Disen - Flott og velholdt halvpart av tomannsbolig i et attraktivt og barnevennlig område - Hybeldel 16.000 kr i mnd - Garasje",14607630,198,7,"Eikelundveien 11C, Oslo",NA,"Tomannsbolig",1936,"Nordvik","https://www.finn.no/realestate/homes/ad.html?finnkode=460038783","2026-04-20T15:17:17",NA,NA,"Family home","high","7-room semi-detached house in suburban Lofthus/Disen with garage, rental income potential, suitable for families in attractive family-friendly area.","2026-04-20T15:44:13","Good standard","medium","Described as flott og velholdt (nice and well-maintained) 1936 tomannsbolig with modest price/m² (73k) suggests functional condition without full modern renovation."
"459769532","Prosjektert tomannsbolig | Solrik hage og balkong | Bilheis | 5 sov, 3 bad | Attraktiv beliggenhet | Mulighet for hybel",NA,NA,NA,"Tormods vei 5, Oslo",NA,NA,NA,NA,"https://www.finn.no/realestate/projectsingle/ad.html?finnkode=459769532","2026-04-20T15:17:17",NA,NA,"New development","high","Listing explicitly states 'Prosjektert tomannsbolig' (projected/planned semi-detached house), indicating new development project despite missing price and year details.","2026-04-20T15:44:13","High standard","medium","Prosjektert (planned/designed) new tomannsbolig with modern specifications (bilheis, multiple bathrooms) indicates contemporary standard, though no description text limits confidence."
"460450410","VALLE HOVIN - Superfin 2-roms topp/hjørneleilighet med ny solrik balkong fra 2024. Peis. Vinduer 2020. Kabel-TV/fibernett inkludert.",4991143,58,2,"Vallefaret 22, Oslo",NA,"Leilighet",1952,"Meglervisning","https://www.finn.no/realestate/homes/ad.html?finnkode=460450410","2026-04-20T15:17:17",NA,NA,"Student / young professional","high","2-room apartment in Valle Hovin at mid-range price (5M NOK), good public transport access, suitable for young professionals or students.","2026-04-20T15:44:13","Good standard","high","1952 apartment with recent updates (ny balkong 2024, vinduer 2020) shows maintained condition with selective modern improvements rather than full renovation."
"436033475","Velkommen til Tjuvholmen - Lys og innholdsrik leilighet med fjordutsikt, solrik fransk balkong og garasjeplass. Fantastisk felles takterrasse.",10766240,72,1,"Tjuvholmen allé 21, Oslo",NA,"Leilighet",2012,"PrivatMegleren","https://www.finn.no/realestate/homes/ad.html?finnkode=436033475","2026-04-20T15:17:17",NA,NA,"Luxury","high","Tjuvholmen location (prestigious address), waterfront with fjord view, price over 10M NOK, modern building (2012) with premium finishes and shared amenities.","2026-04-20T15:44:13","High standard","high","2012 building at Tjuvholmen with high price/m² (149k) and descriptions of lys og innholdsrik indicates modern, well-finished apartment meeting contemporary standards."
"460145498","TOPPEN AV TONSENHAGEN! - Lys og luftig 2-roms selveierleilighet med marka som nærmeste nabo. Parkering*. Innerst i rolig gate!",4052281,56,2,"Kristine Bonnevies vei 11, Oslo",NA,"Leilighet",1964,"Krogsveen","https://www.finn.no/realestate/homes/ad.html?finnkode=460145498","2026-04-20T15:17:17",NA,NA,"Starter / budget","high","2-room apartment under 4.1M NOK, small size (56 m²), suitable as first-time buyer property in suburban location with nature proximity.","2026-04-20T15:44:13","Average / dated","medium","1964 building with low price/m² (72k) and generic descriptors (lys og luftig) but no mention of renovation suggests functional but dated condition."
"460263040","Oppsal - Stor og lekker toppleilighet med utsikt og idyllisk beliggenhet | Utvidet bad | Oppr. 4-roms | Fyr./Varmtv. inkl.",7490437,86,4,"Vetlandsveien 83B, Oslo",NA,"Leilighet",1954,"Krogsveen","https://www.finn.no/realestate/homes/ad.html?finnkode=460263040","2026-04-20T15:17:17",NA,NA,"Suburban","high","4-room apartment in Oppsal (outer Oslo district), mid-range price, topical location with nature views, suitable suburban family living.","2026-04-20T15:44:13","Good standard","medium","1954 building described as stor og lekker (large and nice) with utvidet bad (expanded bathroom) suggests well-maintained unit with selective upgrades, price/m² (87k) supports this."
"460130862","BJERKE - Innholdsrik og skjermet enebolig beliggende i blindvei. Fire soverom, tre bad og solrik hage. Dobbelgarasje med lader",13499740,227,6,"Refstadveien 26, Oslo",NA,"Enebolig",1982,"Krogsveen","https://www.finn.no/realestate/homes/ad.html?finnkode=460130862","2026-04-20T15:17:17",NA,NA,"Family home","high","6-room detached house (227 m²) in Bjerke with garden, double garage, multiple bathrooms, clearly designed for family living.","2026-04-20T15:44:13","Average / dated","medium","1982 enebolig at low price/m² (59k) with generic descriptors; built 1980s without explicit renovation keywords suggests functional but aging condition."
"459791236","ÅRVOLLTOPPEN - Moderne og arealeffektiv 2-roms selveier med heis og solrik balkong. Idyllisk beliggenhet med marka som nærmeste nabo!",4398040,49,2,"Årvollveien 72, Oslo",NA,"Leilighet",2017,"Krogsveen","https://www.finn.no/realestate/homes/ad.html?finnkode=459791236","2026-04-20T15:17:17",NA,NA,"Student / young professional","medium","2-room modern apartment (2017) under 4.4M NOK in area with Marka proximity, though location is suburban rather than central student area.","2026-04-20T15:44:13","High standard","high","2017 modern building (post-2015) with moderne descriptor and arealeffektiv design indicates contemporary construction and finishes."
"460279541","Grünerløkka - Lys og klassisk 3-roms i rolig gate - Solrik balkong mot bakgård - Varmtvann inkl - IN-ordning - Overflate oppusset 2025",5402758,46,3,"Bjerkelundgata 6B, Oslo","Bjerke","Leilighet",1890,"Krogsveen","https://www.finn.no/realestate/homes/ad.html?finnkode=460279541","2026-04-20T15:17:17",NA,NA,"Central urban","high","3-room apartment in Grünerløkka (central creative district), mid-range price (5.4M NOK), classical building with recent surface renovation, central urban lifestyle.","2026-04-20T15:44:13","Good standard","high","1890 klassisk leilighet with overflate oppusset 2025 (surface freshened 2025) shows recent cosmetic updates maintaining classical character without full renovation."
"460406703","Frogner/Gimle - Lys og gjennomgående leilighet | Heis | To solrike uteplasser | Peis | Modernisering",15973393,130,2,"Fritzners gate 22, Oslo",NA,"Leilighet",1917,"PrivatMegleren","https://www.finn.no/realestate/homes/ad.html?finnkode=460406703","2026-04-20T15:17:17",NA,NA,"Luxury","high","Price 15.97M NOK well above 10M luxury threshold, prestigious Frogner address (Fritzners gate), premium finishes (heis, peis, modernisering).","2026-04-20T15:44:20","Good standard","medium","Built 1917 with mention of 'modernisering' (modernization) and premium location (Frogner/Gimle). High price/m² (122,872) and features like elevator and fireplace suggest good maintenance, though no explicit recent renovation mentioned."
"459548352","Fint og rolig på Tøyen/Nedre Kampen - Stor, lys og pen 2 R m stukkatur, rosett og takhøyde på 2,94m. Gj. gående. Skjermet beliggenhet. Balkong mot bakgård.",5402243,65,2,"Håkons gate 20B, Oslo",NA,"Leilighet",1898,"Meglervisning","https://www.finn.no/realestate/homes/ad.html?finnkode=459548352","2026-04-20T15:17:17",NA,NA,"Central urban","high","Central Oslo location (Tøyen/Nedre Kampen), mid-range price 5.4M NOK, 2-room apartment with period charm, suitable for urban professionals.","2026-04-20T15:44:20","Average / dated","medium","Built 1898 with architectural character (stukkatur, rosett) but no renovation keywords mentioned. Lower price/m² (83,111) and age suggest original or minimally updated finishes despite being 'fint og rolig'."
"460149274","Vettakollen - Eksklusiv selveierleilighet| Usjenert | Nydelig utsyn| 2 garasjeplasser |Peis| Terrasse | Heis",16319165,137,2,"Skogryggveien 14B, Oslo",NA,"Leilighet",2013,"PrivatMegleren","https://www.finn.no/realestate/homes/ad.html?finnkode=460149274","2026-04-20T15:17:17",NA,NA,"Luxury","high","Price 16.3M NOK exceeds luxury threshold, exclusive address (Vettakollen), premium features (usjenert views, garasjeplasser, peis, terrasse, heis).","2026-04-20T15:44:20","Luxury finish","high","Explicitly described as 'eksklusiv' (exclusive), built 2013 (modern construction), high price/m² (119,118), and features peis, terrasse, and utsyn indicate premium quality and finishes."
"452144140","Tøyen v/Botanisk Hage - Lys 3-R m/solrik vestvendt balkong. Baderom fra 2023. IN-ordning. Separat kjk. Oppvarming/ Tv-internett, varmtv. ink. fk",6300782,87,3,"Ringgata 5C, Oslo",NA,"Leilighet",1952,"Meglervisning","https://www.finn.no/realestate/homes/ad.html?finnkode=452144140","2026-04-20T15:17:17",NA,NA,"Family home","high","3-room apartment at mid-range price 6.3M NOK with good layout (separat kjøkken) near Botanisk Hage, suitable for families seeking central location.","2026-04-20T15:44:20","High standard","high","Bathroom renovated in 2023, clearly stated as recently updated. Good price/m² (72,423) and functional modern amenities (heating, TV, internet included) indicate well-maintained high-standard property."
"460014598","NYDALEN - Attraktiv og lys 2-roms i 6. etasje | Vestvendt balkong på 8 kvm | Oppgradert de seneste år | Heis | Felles takterrasse",5433590,51,2,"Gunnar Schjelderups vei 11S, Oslo",NA,"Leilighet",2006,"PrivatMegleren","https://www.finn.no/realestate/homes/ad.html?finnkode=460014598","2026-04-20T15:17:17",NA,NA,"Student / young professional","high","Nydalen location with good public transport, 2 rooms, 51 m², price 5.4M NOK, compact and modern (built 2006), ideal for young professionals.","2026-04-20T15:44:20","High standard","medium","Described as 'oppgradert de seneste år' (upgraded in recent years), built 2006, price/m² 106,541 indicates modern standard with ongoing maintenance and improvements."
"459349030","ILADALEN, vendt ut rolig gårdsrom - Nydelig, lys 2-roms - Epoq kjøkken 2022 - Vinduer 2025 - A konto vv/fyring, internett inkl - Bo privat og usjenert til",3988309,36,2,"Uelands gate 59H, Oslo",NA,"Leilighet",1941,"DNB Eiendom","https://www.finn.no/realestate/homes/ad.html?finnkode=459349030","2026-04-20T15:17:17",NA,NA,"Starter / budget","high","Price 3.99M NOK just under 3.5M threshold, small 36 m² apartment, 2 rooms, affordable entry-level property with recent upgrades.","2026-04-20T15:44:20","High standard","high","Kitchen upgraded to Epoq brand in 2022 and windows replaced in 2025. Explicit recent renovations combined with good price/m² (110,786) indicate high-standard well-maintained property."
"460132661","Grünerløkka - Lekker og usjenert loftsleilighet med solrik, sørvendt takterrasse. Peis og raus takhøyde. 95 kvm GUA. Vv/internett inkl",7698540,87,3,"Falsens gate 24B, Oslo",NA,"Leilighet",1897,"Krogsveen","https://www.finn.no/realestate/homes/ad.html?finnkode=460132661","2026-04-20T15:17:17",NA,NA,"Central urban","high","Grünerløkka central location, mid-range price 7.7M NOK, 3-room loft apartment with character (peis, takhøyde), strong urban appeal.","2026-04-20T15:44:20","Average / dated","medium","Built 1897 with charming features (loftssleilighet, takhøyde, peis) but no renovation keywords. Moderate price/m² (88,489) and age suggest original or cosmetically maintained finishes rather than full modernization."
"459838710","BRISKEBY - Unik leilighet over to plan. Nydelig og sentral beliggenhet. Flotte detaljer som stukkatur, rosett og fiskebensparkett",5476011,75,3,"Jørgen Moes gate 1B, Oslo",NA,"Leilighet",1890,"Krogsveen","https://www.finn.no/realestate/homes/ad.html?finnkode=459838710","2026-04-20T15:17:17",NA,NA,"Central urban","high","Briskeby central address, mid-range price 5.48M NOK, 3-room duplex apartment with period details, ideal for central urban living.","2026-04-20T15:44:20","Average / dated","medium","Built 1890 with historic architectural details (stukkatur, rosett, fiskebensparkett) but no recent renovation mentioned. Lower price/m² (73,013) and emphasis on original features suggest dated but characterful condition."
"459888635","Grefsen - Nordre Åsen - Toppleilighet med stor, solrik balkong! God planløsning med spisekjøkken, stue med flere soner. Svært sentralt!",4062147,48,1,"Kjelsåsveien 8A, Oslo",NA,"Leilighet",1950,"Krogsveen","https://www.finn.no/realestate/homes/ad.html?finnkode=459888635","2026-04-20T15:17:17",NA,NA,"Student / young professional","high","Grefsen location, budget-friendly 4.06M NOK, compact 48 m² with 1 room, central access (svært sentralt), suitable for young professionals.","2026-04-20T15:44:20","Average / dated","medium","Built 1950 with no renovation keywords. Described as 'god planløsning' (good layout) but no mention of kitchen or bathroom updates. Moderate price/m² (84,628) suggests functional but dated condition."
"460151584","Ekeberg/Brannfjell - Stort  og meget pent enderekkehus | Flott hage | Garasje | Unik nærhet til friområde",12929418,174,4,"Brannfjellveien 98A, Oslo",NA,"Rekkehus",1955,"Krogsveen","https://www.finn.no/realestate/homes/ad.html?finnkode=460151584","2026-04-20T15:17:17",NA,NA,"Family home","high","Ekeberg suburb location, 174 m² enderekkehus with 4 rooms, garage, garden, price 12.9M NOK, ideal family home with outdoor space near nature.","2026-04-20T15:44:20","Good standard","medium","Built 1955, described as 'meget pent' (very nice) with good amenities (garage, hage). Moderate price/m² (74,307) and lack of explicit renovation keywords suggest well-maintained but not recently upgraded property."
"460247637","LINDERUD - Pen og innbydende 3-R selveier | Balkong med utsikt | A-konto Vv. & fyring inkl. | Parkering | Ingen forkjøpsrett!",4445644,75,3,"Sletteløkka 22B, Oslo",NA,"Leilighet",1957,"DNB Eiendom","https://www.finn.no/realestate/homes/ad.html?finnkode=460247637","2026-04-20T15:17:17",NA,NA,"Family home","high","3-room apartment in Linderud (outer Oslo district), 75 m², mid-range price, suburban location with parking and practical amenities.","2026-04-20T15:44:27","Average / dated","medium","Built 1957 with no mention of renovation. Description is minimal and price/m² (59,275) is moderate, suggesting the property is functional but likely has dated finishes typical of mid-century construction."
"460298013","MAJORSTUA - Attraktiv og lys 2-roms med balkong og heis. Felles varmtvann. Store vindusflater. Sentralt og med frodige omgivelser.",6454467,52,2,"Schønings gate 32, Oslo",NA,"Leilighet",1979,"Boa","https://www.finn.no/realestate/homes/ad.html?finnkode=460298013","2026-04-20T15:17:17",NA,NA,"Central urban","high","2-room apartment in Majorstua, central Oslo district, mid-range price (6.5M NOK), attractive urban location with good light and surroundings.","2026-04-20T15:44:27","Good standard","medium","Built 1979 with moderate price/m² (124,124). Described as 'attraktiv og lys' with 'store vindusflater' and felles varmtvann, suggesting well-maintained condition without explicit renovation claims."
"460256769","NORDBERG - IDYLL VED MARKAGRENSEN - Stort og velholdt rekkehus med solrike uteplasser, 5 sov, 2 bad, garasje og kjeller med egen inngang. Unik beliggenhet.",19373880,247,6,"Langmyrgrenda 55 D, Oslo",NA,"Rekkehus",1962,"Nordvik","https://www.finn.no/realestate/homes/ad.html?finnkode=460256769","2026-04-20T15:17:17",NA,NA,"Luxury","high","Large detached house (247 m², 6 rooms) at Markagrensen with premium features, price 19.4M NOK significantly exceeds luxury threshold, exceptional location.","2026-04-20T15:44:27","Good standard","medium","Built 1962, described as 'stort og velholdt' (well-maintained) with multiple bedrooms, bathrooms, and garage. The emphasis on 'velholdt' and 'unik beliggenhet' suggests good ongoing condition without being newly renovated."
"460245701","Klassisk Frognerperle med balkong | 2 soverom, 2 bad + separat wc | 3 m takhøyde | Kakkelovn | 4 boder |  Etterspurt bel",14564794,115,3,"Odins gate 32B, Oslo",NA,"Leilighet",1912,"PrivatMegleren","https://www.finn.no/realestate/homes/ad.html?finnkode=460245701","2026-04-20T15:17:17",NA,NA,"Luxury","high","Prestigious Frogner address (Odins gate), classic 1912 building, 3 rooms, price 14.6M NOK in luxury range, premium location and architectural character.","2026-04-20T15:44:27","Good standard","medium","Built 1912 with classic period features (kakkelovn, 3m takhøyde, rosetter) and high price/m² (126,650). Described as 'klassisk' but no explicit renovation; appears to be a well-preserved period property rather than luxury-finish."
"460240951","Veitvet - Betydelig oppgradert og flott 4-R med 2 balkonger | Kjøkken 2026 | Baderom 2019 | Nærhet til alt!",5365989,85,4,"Veitvetstubben 8 B, Oslo",NA,"Leilighet",1957,"EIE Eiendomsmegling","https://www.finn.no/realestate/homes/ad.html?finnkode=460240951","2026-04-20T15:17:17",NA,NA,"Family home","high","4-room apartment in Veitvet (suburban), 85 m², mid-range price, recently upgraded kitchen and bathroom, family-suitable layout.","2026-04-20T15:44:27","High standard","high","Explicitly described as 'betydelig oppgradert' with recent kitchen (2026) and bathroom (2019) updates. Clear renovation keywords indicate comprehensive modernization despite 1957 build year."
"460267241","Enebolig med attraktiv beliggenhet innerst i blindvei | Peis |   Hybel | Garasje | Stor sydvestvendt terrasse på 62  m²",7166100,172,5,"Gamle Bygdevei 313, Oslo",NA,"Enebolig",1988,"EIE Eiendomsmegling","https://www.finn.no/realestate/homes/ad.html?finnkode=460267241","2026-04-20T15:17:17",NA,NA,"Family home","high","Detached house (172 m², 5 rooms) with garage, large terrace, fireplace, mid-range price, suburban location suitable for families.","2026-04-20T15:44:27","Renovation project","medium","Built 1988 with very low price/m² (41,663), well below Oslo market standards, and minimal description. The absence of renovation claims combined with below-market pricing suggests significant work needed."
"460268791","Pilestredet / St.hanshaugen - Klassisk hjørneleilighet med solrik balkong og peisovn. Rosetter - Stukkatur - Takhøyde 3 m",7749622,90,3,"Holbergs gate 3, Oslo",NA,"Leilighet",1896,"PrivatMegleren","https://www.finn.no/realestate/homes/ad.html?finnkode=460268791","2026-04-20T15:17:17",NA,NA,"Central urban","high","Classic 3-room apartment in St. Hanshaugen/Pilestredet (central Oslo), 90 m², price 7.7M NOK, historic building with character and central urban location.","2026-04-20T15:44:27","Good standard","medium","Built 1896 with classic architectural features (stukkatur, rosetter, 3m takhøyde) and solrik balkong. Described as 'klassisk' with reasonable price/m² (86,107), suggesting well-maintained period character without luxury finishes."
"460392998","ROSENHOFF, EN URBAN OASE! - Lys og gjennomgående 3-R med separat kjøkken | Solrik sydøstvendt balkong 4m² vendt mot rolig bakgård | Lave boutgifter",5964163,64,3,"Dynekilgata 19C, Oslo",NA,"Leilighet",1936,"DNB Eiendom","https://www.finn.no/realestate/homes/ad.html?finnkode=460392998","2026-04-20T15:17:17",NA,NA,"Central urban","high","3-room apartment in Rosenhoff (central Oslo area), 64 m², mid-range price, described as urban oasis with low maintenance fees and attractive central location.","2026-04-20T15:44:27","Good standard","medium","Built 1936, described as 'lys og gjennomgående' with solrik balkong and 'lave boutgifter'. Moderate price/m² (93,190) and functional description suggest good ongoing condition without major renovation claims."
"460023997","Mortensrud - Oppussingsobjekt; solrik 3-roms toppleilighet uten innsyn. Garasjeplass, 2 balkonger og vid utsikt mot sjø i det fjerne!",3878503,87,3,"Lofsrudhøgda 215, Oslo",NA,"Leilighet",1986,"PrivatMegleren","https://www.finn.no/realestate/homes/ad.html?finnkode=460023997","2026-04-20T15:17:17",NA,NA,"Renovation","high","Explicitly labeled 'Oppussingsobjekt' (renovation project), Mortensrud location, 3 rooms, budget-friendly price 3.9M NOK, needs work.","2026-04-20T15:44:27","Renovation project","high","Title explicitly states 'Oppussingsobjekt' (renovation project), which is a clear keyword override. Despite 1986 build and desirable features, the property requires significant work before comfortable habitation."
"460062089","Hovseter / Røa - Romslig og fin 3(4)-roms toppleil. i 8. etg med heis | Solrik balkong 10 kvm | TV og bredbånd inkl. | Garasje m/el-lader",6932491,97,3,"Hovseterveien 46B, Oslo",NA,"Leilighet",1973,"EIE Eiendomsmegling","https://www.finn.no/realestate/homes/ad.html?finnkode=460062089","2026-04-20T15:17:17",NA,NA,"Suburban","high","3-room apartment in Hovseter/Røa (outer Oslo district), 97 m², mid-range price, suburban location with practical amenities and good views.","2026-04-20T15:44:27","Good standard","medium","Built 1973, described as 'romslig og fin' with modern amenities (heis, TV/bredbånd inkl., el-lader). Moderate price/m² (71,469) and well-maintained appearance suggest good functional standard without comprehensive recent renovation."
"459752966","Idylliske Korsvoll nær byen og marka - Spennende enebolig m/ stor, solrik hage på 1,1 mål. Moderniseringsbehov. Meget barnevennlig og attraktivt!",18451090,232,3,"Korsvollbakken 18, Oslo",NA,"Enebolig",1971,"PrivatMegleren","https://www.finn.no/realestate/homes/ad.html?finnkode=459752966","2026-04-20T15:17:17",NA,NA,"Family home","high","3-room detached house with large garden (1.1 mål), suburban location (Korsvoll), suitable for families despite modernization needs.","2026-04-20T15:44:33","Average / dated","high","Built 1971 with explicit mention of 'Moderniseringsbehov' (modernization needed) in title. No renovation mentioned despite being over 50 years old. Price/m² of 79,531 NOK indicates lower-end market positioning."
"460269929","Ensjø - Delikat & moderne 2-roms endeleilighet fra 2023 | Vannbåren gulvvarme | Balkong på 6m² |Garasjeplass |Felles takterrasse",5741090,54,2,"Malerhaugveien 27, Oslo",NA,"Leilighet",2023,"Otg","https://www.finn.no/realestate/homes/ad.html?finnkode=460269929","2026-04-20T15:17:17",NA,NA,"New development","high","Built 2023, modern 2-room apartment with contemporary amenities (floor heating, parking, shared terrace) clearly marketed as new/modern.","2026-04-20T15:44:33","High standard","high","Built 2023 (brand new), described as 'Delikat & moderne' with modern amenities including underfloor heating and garage. New construction inherently meets high standard requirements."
